,City,Country,Lat,Lon,Temp,Cloudiness,Humidity,Wind Speed
37,Lüderitz,NA,-26.65,15.16,26.0,0,41,5.1
38,Goedereede,NL,51.82,3.98,23.33,46,51,2.1
39,Teya,RU,60.38,92.63,-2.74,1,94,1.64
40,Altay,CN,47.87,88.12,6.85,31,39,2.35
41,Busselton,AU,-33.65,115.33,20.56,100,50,0.84
42,Kruisfontein,ZA,-34.0,24.73,21.31,100,45,2.37
43,Yenagoa,NG,4.92,6.26,28.91,90,57,4.49
44,Toora-Khem,RU,52.47,96.11,2.01,73,55,1.15
45,Albany,US,42.6,-73.97,8.89,75,36,9.8
46,Bredasdorp,ZA,-34.53,20.04,20.56,100,68,0.5
47,Puerto Ayora,EC,-0.74,-90.35,29.0,75,74,4.1
48,Saint Paul Harbor,US,57.79,-152.41,4.0,90,80,7.2
49,Coahuayana Viejo,MX,18.73,-103.68,30.0,40,33,1.34
50,Great Malvern,GB,52.11,-2.33,24.0,33,31,2.6
51,Morro Bay,US,35.37,-120.85,14.44,1,82,3.6
52,Preobrazheniye,RU,42.9,133.91,-1.37,12,94,2.63
53,Vostok,RU,46.49,135.88,-4.19,0,90,1.88
54,Chamba,IN,32.57,76.13,17.9,9,30,3.06
55,Provideniya,RU,64.38,-173.3,-3.97,100,96,1.77
56,Avarua,CK,-21.21,-159.78,26.0,87,100,1.0
57,Mount Isa,AU,-20.73,139.5,22.0,31,24,3.6
58,Atuona,PF,-9.8,-139.03,27.84,97,72,3.91
59,Chui,UY,-33.7,-53.46,21.35,8,57,1.83
60,Hobart,AU,-42.88,147.33,11.0,40,57,7.2
61,Upernavik,GL,72.79,-56.15,-6.87,100,88,3.25
62,New Norfolk,AU,-42.78,147.06,11.0,40,57,7.2
63,Carnarvon,AU,-24.87,113.63,25.0,40,100,8.2
64,East London,ZA,-33.02,27.91,23.43,100,76,5.16
65,Barrow,US,71.29,-156.79,-28.0,1,91,4.1
66,Dakar,SN,14.69,-17.44,33.0,0,69,4.1
67,Port Alfred,ZA,-33.59,26.89,19.44,100,93,6.14
68,Kupang,ID,-10.17,123.58,25.0,40,69,3.6
69,Leningradskiy,RU,69.38,178.42,-13.94,100,82,2.41
70,Chumikan,RU,54.72,135.31,2.47,0,80,3.71
71,Usinsk,RU,65.99,57.53,-6.8,7,94,1.76
72,Arrifes,PT,37.77,-25.7,17.0,20,63,8.7
73,Rio Grande,BR,-32.03,-52.1,22.0,40,64,2.6
74,Sur,OM,22.57,59.53,28.98,0,53,5.36
75,Mezen',RU,65.85,44.24,-2.04,98,94,1.53
76,Te Anau,NZ,-45.42,167.72,11.36,95,67,1.85
77,Hasaki,JP,35.73,140.83,9.0,75,87,2.1
78,Esperance,AU,-33.87,121.9,20.0,62,68,6.2
79,Moerai,PF,-22.43,-151.33,27.41,100,85,2.56
80,Bethel,US,41.37,-73.41,9.44,75,36,7.2
81,Kapaa,US,22.08,-159.32,24.0,20,83,4.6
82,Yumen,CN,40.28,97.2,10.38,63,17,5.49
83,Grand Baie,MU,-20.02,57.58,25.56,75,88,7.7
84,Beringovskiy,RU,63.05,179.32,-14.18,93,93,5.12
85,Kavaratti,IN,10.57,72.64,29.65,2,67,1.49
86,Florianópolis,BR,-27.61,-48.5,26.11,20,64,4.1
87,Jamestown,US,42.1,-79.24,4.44,90,59,7.7
88,Ixtapa,MX,20.7,-105.2,25.56,75,69,3.6
89,Hermanus,ZA,-34.42,19.23,20.56,100,82,8.6
90,Neryungri,RU,56.67,124.65,-1.41,46,75,0.71
91,Turukhansk,RU,65.82,87.98,1.13,99,91,6.79
92,Tabou,CI,4.42,-7.35,29.97,89,68,2.72
93,Riyadh,SA,24.69,46.72,29.0,75,25,5.7
94,Thompson,CA,55.74,-97.86,-7.0,90,67,2.1
95,Nikolskoye,RU,59.7,30.79,4.0,20,64,7.0
96,Kidal,ML,18.44,1.41,39.68,21,9,3.0
97,Danielskuil,ZA,-28.19,23.54,24.67,21,23,7.74
98,Arman',RU,59.7,150.17,-6.88,100,92,3.28
99,Katangli,RU,51.71,143.23,-3.35,25,94,5.11
100,Eyemouth,GB,55.87,-2.09,20.0,75,37,5.7
101,Mangaratiba,BR,-22.96,-44.04,25.0,90,73,2.1
102,Bathsheba,BB,13.22,-59.52,30.0,40,55,7.2
103,Maków Mazowiecki,PL,52.86,21.1,13.89,0,23,2.6
104,La Rioja,ES,42.25,-2.5,15.0,75,100,0.5
105,Healesville,AU,-37.65,145.52,12.78,75,93,5.7
106,Manta,EC,-0.95,-80.73,28.0,75,74,1.5
107,Cherskiy,RU,68.75,161.3,-10.32,100,96,4.73
108,Halifax,CA,44.65,-63.57,8.33,75,60,7.7
109,Nanzhou,CN,29.36,112.4,10.04,37,76,1.68
110,Wanning,CN,18.8,110.4,24.48,35,87,0.89
111,Shiozawa,JP,37.03,138.85,8.33,100,75,0.97
112,Neiafu,TO,-18.65,-173.98,19.0,20,100,4.7
113,Kedrovyy,RU,56.17,91.82,-2.0,0,63,0.86
114,Fort-Shevchenko,KZ,44.51,50.26,10.27,0,59,3.58
115,Mabaruma,GY,8.2,-59.78,28.68,100,60,3.2
116,Jalu,LY,29.03,21.55,23.29,95,20,4.3
117,Warrnambool,AU,-38.38,142.48,11.67,40,82,7.31
118,Bengkulu,ID,-3.8,102.27,26.87,54,78,2.05
119,Campbellton,CA,48.01,-66.67,1.26,79,89,6.07
120,Marawi,PH,8.0,124.29,19.69,0,67,1.07
121,Bandarbeyla,SO,9.49,50.81,28.46,4,64,4.87
122,Kaniama,CD,-7.57,24.18,26.64,67,64,1.68
123,Clyde River,CA,70.47,-68.59,-13.0,75,84,6.2
124,Nador,MA,35.17,-2.93,17.0,90,77,5.7
125,Port Macquarie,AU,-31.43,152.92,17.78,40,48,6.2
126,Coruripe,BR,-10.13,-36.18,31.1,5,57,4.36
127,Vanino,RU,49.09,140.25,-1.86,0,91,2.33
128,Mnichovice,CZ,49.94,14.71,18.33,53,29,2.6
129,Bambous Virieux,MU,-20.34,57.76,25.56,75,88,7.7
130,Baykit,RU,61.67,96.37,-1.73,79,94,1.8
131,Chokurdakh,RU,70.63,147.92,-2.11,100,98,7.23
132,Codrington,AU,-38.27,141.97,10.79,49,77,5.85
133,Saint George,US,37.1,-113.58,13.33,1,62,0.89
134,Bac Lieu,VN,9.29,105.72,27.49,6,73,4.15
135,Ponta do Sol,PT,32.67,-17.1,18.0,75,68,4.1
136,Malinovskiy,RU,61.2,62.84,4.22,100,87,4.11
137,Fortuna,US,40.6,-124.16,11.11,90,93,4.23
138,Hualmay,PE,-11.1,-77.61,24.19,36,71,3.42
139,Derzhavīnsk,KZ,51.1,66.32,8.24,95,50,4.7
140,Saskylakh,RU,71.92,114.08,-10.26,90,94,6.75
141,Bhag,PK,29.04,67.82,33.31,96,23,1.95
142,Saldanha,ZA,-33.01,17.94,21.0,70,73,3.6
143,Lagoa,PT,39.05,-27.98,16.44,0,69,4.12
144,Olafsvik,IS,64.89,-23.71,3.71,12,78,11.13
145,Ola,RU,59.58,151.28,-8.87,100,91,4.68
146,Cidreira,BR,-30.18,-50.21,21.86,18,57,2.7
147,São Filipe,CV,14.9,-24.5,24.68,0,71,8.2
148,Praia da Vitória,PT,38.73,-27.07,18.0,20,72,4.7
149,Geraldton,AU,-28.77,114.6,22.22,0,88,1.5
150,Dingle,PH,11.0,122.67,26.12,3,69,3.32
151,Touros,BR,-5.2,-35.46,32.0,75,62,6.2
152,Gambo,CF,4.65,22.26,28.82,98,58,1.45
153,Quatre Cocos,MU,-20.21,57.76,25.56,75,88,7.7
154,Port Blair,IN,11.67,92.75,28.65,68,71,3.28
155,Mahon,ES,39.89,4.27,20.0,20,40,3.1
156,Maţāy,EG,28.42,30.78,23.85,0,19,4.8
157,Puerto Cabezas,NI,14.04,-83.39,31.0,40,79,2.1
158,Rundu,NA,-17.93,19.77,24.0,82,41,3.1
159,Letterkenny,IE,54.95,-7.73,11.0,90,71,8.2
160,Ormond Beach,US,29.29,-81.06,26.11,1,53,5.1
161,Caiapônia,BR,-16.96,-51.81,27.36,1,52,1.45
162,Youkounkoun,GN,12.53,-13.13,44.91,79,11,1.25
163,San Patricio,MX,19.22,-104.7,28.0,40,69,0.63
164,Gouré,NE,13.98,10.27,35.0,96,10,2.68
165,Yerbogachën,RU,61.28,108.01,-2.13,31,93,3.26
166,Marsabit,KE,2.33,37.99,26.76,20,33,7.62
167,Ihosy,MG,-22.4,46.12,20.6,1,66,4.12
168,Oktyabr'skiy,RU,54.48,53.47,7.64,100,58,3.51
169,Jumla,NP,29.27,82.18,9.12,15,25,1.2
170,Lebu,CL,-37.62,-73.65,14.9,0,59,5.83
171,Luganville,VU,-15.53,167.17,24.0,20,100,0.5
172,Tangier,MA,35.78,-5.81,20.0,100,64,12.3
173,Araioses,BR,-2.89,-41.9,33.0,40,70,5.1
174,Bathurst,AU,-33.42,149.58,6.11,0,64,0.89
175,Dikson,RU,73.51,80.55,-12.18,99,93,3.45
176,Asmara,ER,15.33,38.93,16.37,72,37,3.61
177,Hithadhoo,MV,-0.6,73.08,29.53,92,67,3.79
178,Zambrów,PL,52.99,22.24,11.11,0,27,15.65
179,Tuktoyaktuk,CA,69.45,-133.04,-22.0,75,76,3.1
180,Eirunepé,BR,-6.66,-69.87,26.99,94,83,0.88
181,Arraial do Cabo,BR,-22.97,-42.03,24.0,75,78,3.1
182,Cockburn Town,TC,21.46,-71.14,28.0,40,69,4.6
183,São José da Coroa Grande,BR,-8.9,-35.15,30.06,94,63,3.71
184,Tevaitoa,PF,-16.78,-151.5,28.58,100,71,4.09
185,Pangai,TO,-19.8,-174.35,24.94,15,62,2.93
186,Matamoros,MX,25.53,-103.25,27.0,40,21,3.6
187,Goderich,CA,43.75,-81.72,6.67,42,80,0.45
188,Teacapan,MX,22.55,-105.75,24.02,89,51,0.64
189,Boden,SE,65.83,21.69,1.0,41,64,5.1
190,Verkhoyansk,RU,67.54,133.38,-2.79,100,92,3.88
191,Isangel,VU,-19.55,169.27,24.99,59,67,4.25
192,Cardston,CA,49.2,-113.3,-3.89,90,85,6.7
193,Faanui,PF,-16.48,-151.75,28.05,100,75,4.69
194,Westport,US,41.14,-73.36,10.0,75,31,8.7
195,Sangar,RU,63.92,127.47,-2.59,100,98,1.01
196,Paracuru,BR,-3.41,-39.03,31.0,75,66,4.6
197,Forsytheganj,BY,52.63,29.73,7.02,20,52,6.6
198,Grand-Santi,GF,4.25,-54.38,30.48,79,57,2.6
199,Caravelas,BR,-17.71,-39.25,27.36,32,80,4.72
200,Salisbury,GB,51.07,-1.8,25.0,22,27,2.1
201,De-Kastri,RU,51.47,140.78,-0.55,75,91,2.08
202,Behshahr,IR,36.69,53.55,11.0,40,87,1.0
203,Xichang,CN,27.9,102.26,12.8,43,43,2.35
204,Hīrna,ET,9.22,41.1,20.85,92,41,1.08
205,Joshīmath,IN,30.57,79.57,10.95,5,19,3.21
206,Morón,AR,-34.65,-58.62,23.33,75,49,3.1
207,Vestmanna,FO,62.16,-7.17,7.0,100,100,7.2
208,Żurrieq,MT,35.83,14.47,19.0,20,63,2.6
209,Coquimbo,CL,-29.95,-71.34,18.0,100,63,5.1
210,Waingapu,ID,-9.66,120.26,25.76,32,79,3.34
211,Porto Velho,BR,-8.76,-63.9,25.0,75,94,0.5
212,Torata,PE,-17.08,-70.84,18.27,6,19,2.95
213,Cabo San Lucas,MX,22.89,-109.91,23.33,40,51,11.8
214,Charters Towers,AU,-20.1,146.27,23.34,46,70,2.31
215,Murmashi,RU,68.82,32.81,0.0,93,93,3.0
216,Vardø,NO,70.37,31.11,-1.17,97,90,5.92
217,San Miguel,SV,13.48,-88.18,31.0,99,70,2.1
218,Agía Galíni,GR,35.1,24.68,21.11,0,59,6.2
219,Ilulissat,GL,69.22,-51.1,3.0,75,51,4.6
220,Sosnovka,RU,56.26,51.28,7.65,100,55,1.9
221,Peniche,PT,39.36,-9.38,19.0,40,67,4.1
222,Hong Kong,HK,22.29,114.16,21.67,75,88,5.0
223,Inírida,CO,3.87,-67.92,29.83,99,63,1.39
224,Berlevåg,NO,70.86,29.09,-2.43,97,89,4.74
225,Valparaíso,CL,-33.04,-71.63,15.0,90,93,2.6
226,Hirado,JP,33.36,129.55,12.78,100,87,1.34
227,Kerema,PG,-7.96,145.78,26.09,88,84,1.87
228,Port Montt,CL,-41.47,-72.94,13.0,40,62,2.6
229,Kingaroy,AU,-26.53,151.83,11.0,7,66,2.6
230,Muli,MV,2.92,73.57,29.91,4,61,0.98
231,Kavieng,PG,-2.57,150.8,28.26,97,76,2.34
232,Neuquén,AR,-38.95,-68.06,21.0,100,26,3.6
233,Abu Samrah,SY,35.3,37.18,17.24,51,47,7.59
234,Da Lat,VN,11.95,108.44,16.55,99,66,0.48
235,Port Elizabeth,ZA,-33.92,25.57,19.0,100,52,1.5
236,Srīvardhan,IN,18.03,73.02,27.01,40,74,1.65
237,Lima,PE,-12.04,-77.03,23.0,75,78,2.1
238,Dörverden,DE,52.85,9.23,19.0,94,34,2.6
239,Lucapa,AO,-8.42,20.74,24.92,71,65,1.76
240,Bakal,RU,54.94,58.81,1.61,60,74,1.86
241,Egvekinot,RU,66.32,-179.17,-14.3,26,76,1.63
242,Severo-Kuril'sk,RU,50.68,156.12,-1.98,67,94,4.48
243,Cam Ranh,VN,11.92,109.16,28.0,20,83,0.5
244,Bilibino,RU,68.05,166.44,-14.25,99,89,0.86
245,Singapore,SG,1.29,103.85,30.0,75,74,1.0
246,Solnechnyy,RU,50.72,136.63,0.33,69,76,1.15
247,Koundara,GN,12.48,-13.3,44.81,75,12,1.26
248,Verkhnevilyuysk,RU,63.45,120.32,0.54,99,91,3.61
249,Fatsa,TR,41.03,37.5,12.0,2,70,3.16
250,Kaitangata,NZ,-46.28,169.85,11.16,73,73,1.99
251,Souillac,MU,-20.52,57.52,25.56,75,88,7.7
252,Gornopravdinsk,RU,60.05,69.9,3.91,0,86,3.19
253,Pevek,RU,69.7,170.31,-14.25,100,94,5.58
254,Maragogi,BR,-9.01,-35.22,30.38,90,60,3.69
255,Harper,LR,4.38,-7.72,29.71,78,69,2.62
256,Siniscola,IT,40.57,9.69,20.0,0,24,5.1
257,Muzaffarabad,PK,34.37,73.47,19.47,12,35,3.03
258,Hay River,CA,60.82,-115.8,-15.0,40,77,3.6
259,Shkodër,AL,42.07,19.51,24.0,40,22,3.6
260,Coyhaique,CL,-45.58,-72.07,10.0,40,52,2.6
261,Felipe Carrillo Puerto,MX,19.58,-88.05,30.84,41,57,2.85
262,Lompoc,US,34.64,-120.46,15.0,75,82,5.1
263,Acapulco de Juárez,MX,16.86,-99.89,28.0,20,69,3.1
264,Port Hardy,CA,50.7,-127.42,6.0,20,87,2.1
265,Klyuchi,RU,52.27,79.17,7.59,0,52,3.5
266,Carndonagh,IE,55.25,-7.27,12.35,5,61,7.49
267,Marabu,MY,4.41,114.01,25.56,75,100,1.0
268,Fukuechō,JP,32.69,128.84,13.68,100,81,3.48
269,Huarmey,PE,-10.07,-78.15,25.39,84,68,3.31
270,Dabat,ET,12.98,37.77,16.31,100,34,1.72
271,Willmar,US,45.12,-95.04,12.0,1,29,2.6
272,Arrondissement de Fontenay-le-Comte,FR,46.58,-1.0,25.0,0,29,0.5
273,Half Moon Bay,US,37.46,-122.43,13.0,90,87,1.5
274,Porto Santo,PT,33.07,-16.34,18.0,40,72,6.7
275,Mollendo,PE,-17.02,-72.01,22.36,89,75,4.07
276,Ferrol,ES,43.48,-8.24,15.0,75,87,1.5
277,Agadez,NE,19.75,10.25,35.92,62,8,2.16
278,Ahipara,NZ,-35.17,173.17,16.89,57,76,4.03
279,Wahpeton,US,46.27,-96.61,7.22,99,67,7.7
280,Dwārka,IN,22.24,68.97,27.3,13,70,6.53
281,San Vicente,AR,-26.62,-54.13,24.25,0,30,1.06
282,Belyy Yar,RU,53.6,91.39,-2.0,0,79,1.81
283,Labuhan,ID,-6.88,112.21,26.45,80,82,1.21
284,College,US,64.86,-147.8,-3.0,75,84,1.61
285,Padang,ID,-0.95,100.35,26.96,100,75,1.51
286,Cayenne,GF,4.93,-52.33,30.0,75,66,6.7
287,Sakakah,SA,29.97,40.21,20.0,7,24,5.1
288,Vikhorevka,RU,56.12,101.16,-2.0,32,79,1.0
289,Tulsīpur,NP,28.13,82.3,26.11,36,66,0.89
290,Sidi Ali,DZ,36.1,0.42,18.88,88,55,5.6
291,Tomatlán,MX,19.93,-105.25,28.12,56,34,3.75
292,Liaocheng,CN,36.44,115.96,10.43,0,41,2.0
293,Jacksonville Beach,US,30.29,-81.39,24.44,1,56,3.1
294,Tasiilaq,GL,65.61,-37.64,0.0,40,88,10.3
295,Safaga,EG,26.73,33.94,24.0,0,29,3.6
296,Agirish,RU,61.92,63.02,1.77,100,92,2.19
297,Ucluelet,CA,48.93,-125.55,9.44,5,81,1.5
298,Kuril'sk,RU,45.23,147.88,-3.15,97,93,4.51
299,Damietta,EG,31.42,31.81,19.0,4,55,3.1
300,Maceió,BR,-9.67,-35.74,32.0,75,62,5.1
301,Yangambi,CD,0.81,24.43,30.66,98,53,1.82
302,Denpasar,ID,-8.65,115.22,27.0,40,94,0.5
303,Kilimatinde,TZ,-5.85,34.95,23.53,65,58,1.93
304,Houma,US,29.6,-90.72,23.33,1,56,5.7
305,Kajaani,FI,64.23,27.73,1.0,1,47,4.6
306,Itarema,BR,-2.92,-39.92,29.23,100,75,3.34
307,Adeje,ES,28.12,-16.73,23.0,75,56,8.7
308,Dunedin,NZ,-45.87,170.5,11.11,78,97,2.65
309,Bozeman,US,45.68,-111.04,-0.56,90,92,6.7
310,Ambon City,ID,-3.7,128.18,28.48,2,73,2.67
311,Ust'-Ilimsk,RU,58.0,102.66,-0.97,0,89,1.21
312,Eureka,US,40.8,-124.16,11.11,90,81,4.09
313,Alta Floresta,BR,-9.88,-56.09,32.0,40,70,1.5
314,Fuengirola,ES,36.54,-4.62,17.0,20,82,3.6
315,Tacna,PE,-18.01,-70.25,23.0,90,68,2.1
316,Broome,US,42.25,-75.83,6.0,75,44,6.7
317,Laas,IT,46.62,10.7,26.0,5,33,2.1
318,Saryg-Sep,RU,51.5,95.6,2.11,98,69,0.85
319,Teófilo Otoni,BR,-17.86,-41.51,26.1,91,68,1.61
320,Fairbanks,US,64.84,-147.72,-6.11,1,92,1.65
321,Narsaq,GL,60.92,-46.05,11.0,75,23,9.3
322,Strezhevoy,RU,60.73,77.59,6.0,100,70,3.0
323,Krasnyy Chikoy,RU,50.36,108.75,7.21,0,37,1.23
324,Jardim,BR,-21.48,-56.14,29.42,0,37,0.21
325,Salinópolis,BR,-0.61,-47.36,28.16,55,82,4.85
326,Ziway,ET,7.93,38.72,27.25,28,26,7.95
327,Dargaville,NZ,-35.93,173.88,12.5,10,89,1.9
328,Salta,AR,-24.79,-65.41,21.0,75,67,1.5
329,Wattegama,LK,6.8,81.48,25.49,25,80,1.49
330,Lashio,MM,22.93,97.75,21.49,99,35,0.35
331,Monterey,US,36.25,-121.25,13.33,90,87,3.1
332,Abbeville,FR,50.1,1.83,23.89,12,43,3.6
333,Nantucket,US,41.28,-70.1,9.0,1,42,10.3
334,Alice Springs,AU,-23.7,133.88,14.0,40,35,3.1
335,Assiniboia,CA,49.63,-105.98,-2.54,100,74,6.03
336,Mandan,US,46.83,-100.89,3.0,1,55,8.2
337,Lorengau,PG,-2.02,147.27,27.79,87,75,1.09
338,Bereda,ES,43.27,-7.54,18.89,75,87,1.5
339,Hamilton,US,39.18,-84.53,13.33,90,37,2.1
340,Sibu,MY,2.3,111.82,25.0,75,94,1.5
341,Longyearbyen,SJ,78.22,15.64,-18.0,20,64,3.1
342,Korla,CN,41.76,86.15,17.35,34,18,2.13
343,Bom Jesus,BR,-9.07,-44.36,31.91,51,57,0.66
344,Pisco,PE,-13.7,-76.22,23.33,20,30,5.1
345,Talnakh,RU,69.49,88.4,0.0,75,96,18.0
346,Dibulla,CO,11.27,-73.31,32.0,40,66,5.1
347,Torbay,CA,47.67,-52.73,6.0,75,75,8.7
348,Mandera,KE,3.94,41.87,32.78,74,9,0.89
349,Inta,RU,66.03,60.17,-6.08,86,94,2.4
350,Brae,GB,60.4,-1.35,9.0,97,87,10.3
351,Salé,MA,34.04,-6.82,19.0,40,77,4.6
352,Ouadda,CF,8.08,22.4,34.7,100,19,2.2
353,Porto-Novo,BJ,6.5,2.6,32.0,40,66,5.1
354,Nago,JP,26.59,127.98,20.0,75,94,5.1
355,Jining,CN,35.41,116.58,7.74,0,54,4.12
356,Samaná,DO,19.21,-69.34,30.0,20,70,3.1
357,Bhabhua,IN,25.05,83.62,29.72,12,19,0.82
358,Lianzhou,CN,24.78,112.38,11.85,71,75,2.98
359,Grindavik,IS,63.84,-22.43,7.0,20,81,7.7
360,Amargosa,BR,-13.03,-39.6,27.97,85,65,1.81
361,Hofn,IS,64.25,-15.21,6.02,85,84,6.37
362,San Miguelito,PA,9.03,-79.5,31.11,40,70,3.6
363,Noumea,NC,-22.28,166.46,23.89,31,82,1.5
364,Caxito,AO,-8.58,13.66,30.0,20,70,4.6
365,Hambantota,LK,6.12,81.12,28.44,9,77,6.28
366,Kathu,TH,7.92,98.33,27.0,20,88,0.5
367,Rhyl,GB,53.32,-3.49,20.0,17,68,5.7
368,Buala,SB,-8.14,159.59,27.96,100,78,3.38
369,Ābyek,IR,36.07,50.55,11.0,40,81,3.1
370,Poum,NC,-20.23,164.02,25.43,20,71,5.05
371,Douentza,ML,15.0,-2.95,39.97,36,13,2.93
372,Udachny,RU,66.42,112.4,-1.0,96,58,3.0
373,Çerkezköy,TR,41.28,28.0,14.0,10,54,7.2
374,Nelson Bay,AU,-32.72,152.15,15.56,0,44,6.2
375,La Santisima Trinidad,BO,-14.83,-64.9,29.0,1,48,1.5
376,Plettenberg Bay,ZA,-34.05,23.37,21.34,100,51,1.09
377,Lavrentiya,RU,65.58,-171.0,-2.44,99,98,3.7
378,Ostrovnoy,RU,68.05,39.51,-3.44,97,94,6.49
379,Maltahöhe,NA,-24.83,16.98,30.28,0,9,1.29
380,Raja,SS,8.46,25.68,35.73,7,17,3.19
381,Forlì,IT,44.22,12.05,25.0,0,43,4.1
382,Jacareacanga,BR,-6.22,-57.75,25.14,100,89,1.86
383,Makīnsk,KZ,52.63,70.42,5.16,49,67,1.49
384,Katsuura,JP,35.13,140.3,11.0,75,87,2.1
385,Ust'-Uda,RU,54.17,103.03,2.66,100,74,3.47
386,Ayna,PE,-12.65,-73.92,19.0,80,45,1.5
387,Kloulklubed,PW,7.04,134.26,26.0,75,88,2.1
388,Mackay,AU,-21.15,149.2,22.78,40,94,2.6
389,Dhidhdhoo,MV,6.88,73.1,30.0,0,66,3.36
390,Jacmel,HT,18.23,-72.53,33.0,98,49,3.1
391,Kāzerūn,IR,29.62,51.65,20.53,90,39,3.32
392,Trairi,BR,-3.28,-39.27,29.28,99,74,3.66
393,Diamantino,BR,-14.41,-56.45,30.39,55,60,0.97
394,Cloquet,US,46.72,-92.46,11.0,90,31,5.7
395,Flinders,AU,-34.58,150.86,13.33,2,47,7.2
396,Rāvar,IR,31.27,56.81,24.11,93,22,2.89
397,Anadyr,RU,64.75,177.48,-15.0,0,77,7.0
398,Los Llanos de Aridane,ES,28.66,-17.92,21.0,75,68,5.1
399,College Station,US,30.63,-96.33,22.22,90,72,4.1
400,Tsaratanana,MG,-16.78,47.65,25.43,17,56,4.66
401,Khani,GE,41.96,42.96,10.0,75,81,1.5
402,Nizwá,OM,22.93,57.53,32.26,94,13,4.75
403,Bluff,NZ,-46.6,168.33,11.67,100,77,0.45
404,Tuatapere,NZ,-46.13,167.68,11.67,100,77,0.45
405,Wakuya,JP,38.53,141.13,4.95,0,69,1.53
406,Camacha,PT,33.08,-16.33,18.0,40,72,6.7
407,Mahenge,TZ,-8.68,36.72,21.56,52,76,0.59
408,Khakhea,BW,-24.69,23.49,27.85,16,24,2.48
409,Māngrol,IN,21.12,70.12,27.4,6,67,4.17
410,Inuvik,CA,68.35,-133.72,-15.0,20,84,0.25
411,Brora,GB,58.01,-3.85,16.11,66,47,8.7
412,Luyang,CN,27.62,110.1,7.53,48,84,1.26
413,Moranbah,AU,-22.0,148.05,24.52,85,64,3.5
414,Waitati,NZ,-45.75,170.57,11.11,86,97,2.14
415,Kiunga,PG,-6.12,141.29,23.75,100,96,0.14
416,Krasnosel'kup,RU,65.7,82.47,1.88,100,96,9.99
417,Murovani Kurylivtsi,UA,48.72,27.52,13.89,89,29,5.36
418,Mukhen,RU,48.1,136.1,0.94,1,72,0.86
419,Boljevac,RS,43.83,21.95,21.0,85,22,5.1
420,Nhulunbuy,AU,-12.23,136.77,27.75,67,80,4.86
421,Andros Town,BS,24.7,-77.77,27.0,75,74,5.1
422,Richards Bay,ZA,-28.78,32.04,25.71,0,72,8.52
423,Winslow,US,35.02,-110.7,10.56,1,37,2.49
424,Port Hawkesbury,CA,45.62,-61.35,5.56,90,64,7.7
425,Lang Son,VN,21.83,106.73,21.05,95,80,4.33
426,Tandil,AR,-37.32,-59.13,20.0,20,45,7.7
427,Aliwal North,ZA,-30.69,26.71,23.13,89,31,6.02
428,Barra de Tecoanapa,MX,16.52,-98.75,29.15,17,53,2.07
429,Margate,GB,51.38,1.39,22.22,41,63,4.1
